County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Rockland,Haverstraw Farmers' Market,40 New Main St. Haverstraw Village Hall,New Main St and Maple Ave,Haverstraw,NY,10927,Elaine Fernandez,8454290300,https://voh-ny.com/faq/,Sun 9am-1pm,June 12-November 27,M,Y,N,N,Y,41.19639,-73.96645,"(41.19639, -73.96645)"
Lewis,Colwell's Farm Stand and Garden Center,6007 State Route 12  Glenfield,6007 State Route 12,Glenfield,NY,13343,Michael Colwell,3153767402,http://www.colwellsfarmmarket.com,"Mon-Sat  8am-7pm, Sun 9am-7pm",April 1-November 17,P/M,Y,Y,N,Y,43.71844,-75.41148,"(43.71844, -75.41148)"
Albany,Altamont Orchards Farm Stand,6654 Dunnsville Road Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,"Mon-Fri 10am-5pm, Sat-Sun 10am-4:30pm",June 14-November 20,M,Y,N,N,Y,42.72256,-74.01493,"(42.72256, -74.01493)"
Wayne,LaMora Farms Farm Stand,5925 Ontario Center Rd.  Ontario,5925 Ontario Center Road,Ontario,NY,14519,Earl LaMora,3155210349,http://www.lamorafarms.com,Daily 7am-7pm,June 10-November 1,M,Y,N,N,Y,43.21573,-77.30373,"(43.21573, -77.30373)"
Chenango,Sunrise Farms Farm Stand,252 Plymouth-North Norwich Rd.  Plymouth,252 Plymouth-North Norwich Rd.,Plymouth,NY,13832,Kathryn Clemens,6073365834,,"Mon-Fri 9am-5pm, Sun 9am-2pm",Year-round,YR,Y,N,N,Y,42.62427,-75.59152,"(42.62427, -75.59152)"
Saratoga,Stillwater Farmers' Market,"662 Hudson Ave. , Stillwater Public Library",662 Hudson Ave.,Stillwater,NY,12170,Judy Wood-Shaw,5187445940,,Tue 3pm-6pm,May 31-October 11,M,Y,N,N,Y,42.93756,-73.65848,"(42.93756, -73.65848)"
New York,Tucker Square Thursday Greenmarket,125 Columbus Ave btwn W 65th & W 66th Sts,Columbus and West 66th St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thu 8am-5pm,Year-round,YR,Y,Y,N,Y,40.77362,-73.98156,"(40.77362, -73.98156)"
Orange,Warwick Valley Farmers' Market,"21 South St. , South St. and Bank St. parking lot, In the Historic Village",21 South St,Warwick,NY,10990,Michael Jondrow,8459862720,http://www.warwickvalleyfarmersmarket.org,Sun 9am-2pm,May 8-November 20,P/M,Y,Y,N,Y,41.25656,-74.35858,"(41.25656, -74.35858)"
Franklin,JCEO MM-Riverside Haven Apartments,"77 Catherine St. Malone, Catherine St. Housing",50 Catherine St.,Malone,NY,12953,Robert King,5183194028,http://www.jceo.org,Tue 10am-11am,June 3-September 30,M,Y,Y,N,Y,44.84783,-74.29156,"(44.84783, -74.29156)"
Sullivan,Callicoon Farmers' Market,Callicoon Creek Park 23 Dorrer Drive,23 Dorrer Drive,Callicoon,NY,12723,Kaylin Joslin,6076436667,http://www.callicoonfarmersmarket.org,Sun 11am-2pm,Year-round,YR,Y,N,N,Y,41.76559,-75.05797,"(41.76559, -75.05797)"
Dutchess,Arlington Farmers' Market,"Vassar College Alumni Lawn , 123 Raymond Ave. Poughkeepsie",123 Raymond Ave,Poughkeepsie,NY,12603,Bob Legacy,9144747533,http://www.arlingtonhasit.org,Thursday 2pm-6pm,June 2-October 27,M,Y,N,N,Y,41.68187,-73.89636,"(41.68187, -73.89636)"
Kings,Carroll Gardens Greenmarket,330 Carroll St btwn Smith & Court Sts,Carroll St and Court St,Brooklyn,NY,11231,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/carroll-gardens,Sun 8am-2pm,Year-round,YR,Y,Y,N,Y,40.68106,-73.99653,"(40.68106, -73.99653)"
Monroe,Curbside Market-Pinnacle Place Apartments,919 S Clinton Ave Rochester,919 South Clinton Ave,Rochester,NY,14620,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Wed 10:30am-11:45am,Year-round,YR,Y,Y,N,Y,43.14006,-77.59637,"(43.14006, -77.59637)"
Nassau,Kennedy Plaza Long Beach Farmers' Market-Sat,"1 West Chester St. Long Beach, Corner of National Blvd and Park Ave",1 West Chester St,Long Beach,NY,11561,Debbie Grattan,5166705046,http://www.ligreenmarket.org,Sat 9am-2pm,April 30-November 23,P/M,Y,N,N,Y,40.58943,-73.66592,"(40.58943, -73.66592)"
Albany,New Covenant Farmers' Market,"New Covenant Presbyterian Church, 916 Western Ave. Albany",916 Western Ave,Albany,NY,12203,Katy Stenta,5184828063,,Tue 3pm-6pm,May 17-September 27,M,Y,N,N,Y,42.67228,-73.81026,"(42.67228, -73.81026)"
Rensselaer,Capital Roots Produce Market,594 River Street Troy,594 River Street,Troy,NY,12180,Marissa Peck,5182748685,http://www.capitalroots.org/urban-grow-center-market/,Mon-Fri 9am-5:30pm,Year-round,YR,Y,Y,N,Y,42.74208,-73.68525,"(42.74208, -73.68525)"
Dutchess,Obercreek Farm Stand,81 New Hamburg Road Wappingers Falls,87 New Hamburg Road,Wappingers Falls,NY,12590,Nina Doig,8452980888,http://www.obercreekfarm.com,"Wed-Sat 11am-6pm, Sun 11am-5pm",Year-round,YR,Y,N,N,Y,41.58378,-73.93705,"(41.58378, -73.93705)"
Madison,Mosher Farms Farm Stand,3214 Fargo Rd. Bouckville,3214 Fargo Rd,Bouckville,NY,13310,Terry Mosher,3158937173,http://www.mosherfarms.com,"Mon-Sat 9am-6pm, Sun 9am-5pm",June 10-October 31,M,Y,N,N,Y,42.87972,-75.57175,"(42.87972, -75.57175)"
Oneida,Vienna Farmers' Market,7812 State Rte 13 Blossvale,7812 State Rte 13,Blossvale,NY,13471,Jessica Johnson Travers,3158866824,,Thu 3pm-6:30pm,May 26-October 6,P/M,Y,Y,N,Y,43.24004,-75.70196,"(43.24004, -75.70196)"
Queens,Jamaica Hospital Farm Stand,134-20 Jamaica Ave. Jamaica,134-20 Jamaica Ave.,Jamaica,NY,11418,Javier or Estella Perez,8453810399,,Friday 10:30am-3:30pm,June 17-November 4,M,N,N,N,Y,40.7024,-73.81767,"(40.7024, -73.81767)"
Suffolk,Andrews Family Farm Farm Stand,1038 Sound Ave  Calverton,1038 Sound Ave,Calverton,NY,11933,Rose Andrews,6319290038,,Daily 9am-5pm,April 21-October 23,P/M,Y,N,N,Y,40.94993,-72.80243,"(40.94993, -72.80243)"
Monroe,Curbside Market-Keeler Apts,501 Seneca Manor Dr Rochester,501 Seneca Manor Dr.,Rochester,NY,14621,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Wed 3pm-4pm,Year-round,YR,Y,Y,N,Y,43.19395,-77.60168,"(43.19395, -77.60168)"
Jefferson,Farm Fresh Produce Farm Stand,1753 State Street Watertown,1753 State Street,Watertown,NY,13601,Henry M. Stoltzfus,6078694847,,Tue/Fri 8am-4pm,June 17-Oct 14,M,Y,N,N,Y,43.96701,-75.88011,"(43.96701, -75.88011)"
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:15pm-1:15pm,Year-round,YR,N,Y,N,Y,42.65197,-73.81477,"(42.65197, -73.81477)"
Onondaga,Central NY Thursday Regional Market Authority,2100 Park St. Syracuse,2100 Park Street,Syracuse,NY,13208,Rachael Ristau,3154228647,http://www.cnyrma.com,Thu 7am-2pm,,M,Y,Y,Y,Y,43.07269,-76.16835,"(43.07269, -76.16835)"
Onondaga,Central NY Sunday Regional Market Authority,2100 Park St. Syracuse,2100 Park Street,Syracuse,NY,13208,Rachael Ristau,3154228647,http://www.cnyrma.com,Sun 7am-2pm,Year-round,YR,Y,Y,Y,Y,43.07269,-76.16835,"(43.07269, -76.16835)"
Cattaraugus,Enchanted Mountains Farmers Market,1900 Constituion Ave Olean,1900 Constituion Ave,Olean,NY,14760,Tammy Gardner,7165435475,,Fri 2pm-6pm,May 27-October 28,P/M,Y,Y,N,Y,42.08304,-78.45343,"(42.08304, -78.45343)"
Tompkins,Ithaca Farmers' Market (East Hill Wed),East Hill Plaza 380 Pine Tree Rd.,380 Pine Tree Road,Ithaca,NY,14850,Kelly Sauve,6072737109,http://www.ithacamarket.com,Wed 4pm-7pm,May 4-October 26,P/M,Y,Y,N,Y,42.4385,-76.46559,"(42.4385, -76.46559)"
Washington,Granville Rt. 22 Farmers' Market,88 Quaker St Mountain View Commons,88 Quaker St,Granville,NY,12832,Cyd Groff,5186421653,,Mon 2pm-5pm,June 6-October 17,M,Y,Y,N,Y,43.39845,-73.2658,"(43.39845, -73.2658)"
Erie,Farm This Way Farm Stand,11086 Brant Reservation Rd.  Brant,11086 Brant Reservation Road,Brant,NY,14027,Carolyn Rosiek,7165491038,,"Sun-Thu 9am-5pm, Fri/Sat 9am-7pm",June 1-October 31,M,Y,N,N,Y,42.58029,-79.01732,"(42.58029, -79.01732)"
St. Lawrence,Canton Friday Farmers' Market,Village Green Park 17 Park St @ Main St.,Village Green Park  Main St.,Canton,NY,13617,Carlene Doane,3156058133,https://www.facebook.com/CantonNYFarmersMarket/,Fri 9am-2pm,May 27-October 28,P/M,Y,Y,N,Y,44.59564,-75.16728,"(44.59564, -75.16728)"
Saratoga,Clifton Park Farmers' Market,971 Rt. 146 Shenendowa Methodist Church Clifton Park,971 State Route 146,Clifton Park,NY,12065,Toni Nastasi,5189269962,http://www.saratogafarmersmarket.org,Mon 2pm-5pm,May 2-November 28,P/M,Y,N,N,Y,42.8688,-73.80859,"(42.8688, -73.80859)"
New York,Harvest Home Lenox Ave. Farmers' Market,Lenox Ave. btwn W 117th & W 118th Sts. New York,150 Lenox Avenue,New York,NY,10027,Maritza Owens,2128283361,http://www.harvesthomefm.org,Sat 8am-4pm,June 25-November 19,M,Y,Y,N,Y,40.80295,-73.9489,"(40.80295, -73.9489)"
Ulster,Heart of the Hudson Valley Farmers' Market,Cluett-Schantz Park 1801-1805 Rt 9W Milton,1801-1805 Rt 9W,Milton,NY,12547,Sheila Mannese,8456167824,http://www.hhvfarmersmarket.com,Sat 9am-2pm,June 4-October 8,M,Y,N,N,Y,41.65312,-73.96193,"(41.65312, -73.96193)"
Erie,MAP Mobile Market-Neighboorhood Health Center NW,155 Lawn Ave Buffalo,155 Lawn Ave,Buffalo,NY,14207,Karine Amato,7168825327,http://www.mass-ave.org,Wed 11am-12pm,June 8-October2,M,Y,Y,N,Y,42.9506,-78.8895,"(42.9506, -78.8895)"
Franklin,Saranac Lake Village Farmers' Market,"Riverside Park , Corner of Main St. & Route 3",Corner of Main St. & Route 3,Saranac Lake,NY,12983,Dan Rivera,5182172495,http://www.ausablevalleygrangefarmersmarkets.com,Sat 9am-1pm,May 28-October 8,M,Y,Y,N,Y,44.32503,-74.13178,"(44.32503, -74.13178)"
Orange,Port Jervis Farmers' Market,1 Hammond Street,1 Hammond Street,Port Jervis,NY,12771,Mark Veeder,9178546659,http://www.pjfarmmarket.com,Sat 10am-1pm,June 4-October 29,M,Y,Y,N,Y,41.37555,-74.69237,"(41.37555, -74.69237)"
Genesee,LeRoy Farmers' Market,Trigon Park Route 5 (Main St.),Trigon Park,Le Roy,NY,14482,Mary Margaret Ripley,5853302692,http://www.leroyfarmersmarket.wordpress.com,Sat 9am-12:30pm,June 11-October 1,M,Y,N,N,Y,42.97756,-77.98592,"(42.97756, -77.98592)"
Bronx,La Familia Verde Farmers' Market,Walter Gladwin Park,East Tremont Ave and Arthur Ave,Bronx,NY,10457,Aleyna Rodriguez,7185831765,http://www.lafamiliaverde.org,Tue 8am-2pm,July 12-November 15,M,Y,Y,N,Y,40.84643,-73.89334,"(40.84643, -73.89334)"
Oswego,Godfrey's Last Stand Farm Stand,1232 State Route 264 Phoenix,1232 State Route 264,Phoenix,NY,13135,Roberta and Josephine Godfrey,3155937291,,Daily 10am-4pm,May 1-December 20,P/M/X,Y,Y,N,Y,43.31155,-76.29001,"(43.31155, -76.29001)"
Allegany,Belmont Farmers' Market,5429 NYS Route 19N,5429 NYS Route 19 N,Belmont,NY,14813,Debra Wagoner,5856108836,,Thur 11am-4pm,June 2-October 13,M,Y,Y,N,Y,42.2356,-78.05212,"(42.2356, -78.05212)"
Monroe,Rochester Public Market -Thursday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Thu 6am-1pm,Year-round,YR,Y,Y,Y,Y,43.1657,-77.59016,"(43.1657, -77.59016)"
Nassau,Cedarmore Farmers Market-Baldwin LIRR,Baldwin LIRR Station Parking Lot #BA 12,Lot #BA12 Sunrise Hwy,Baldwin,NY,115510,Imani Jackson,5163783415,http://www.freeportfarmersmarket.org,Sat 11:30am-3:30pm,July 16-October 29,M,Y,Y,N,Y,40.6566,-73.6221,"(40.6566, -73.6221)"
New York,57th Street Saturday Greenmarket,475 W 57th St @ 58th St,891 Tenth Ave,New York,NY,10019,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sat 8am-5pm,June 4-November 19,M,Y,Y,N,Y,40.76943,-73.98835,"(40.76943, -73.98835)"
Westchester,Ossining Farmers' Market,100 Main Street @ Spring St. Market Square,100 Main Street,Ossining,NY,10562,Dacotah Rousseau,9149234837,http://www.downtoearthmarkets.com,Sat 8:30am-1pm,May 7-December 17,P/M/X,Y,Y,N,Y,41.16105,-73.86351,"(41.16105, -73.86351)"
Queens,Far Rock Farm Stand,385 Beach 45th St Far Rockaway,385 Beach 45th Street,Far Rockaway,NY,11691,Melony Samuels,7187733551,http://tcahnyc.org,Sat 10am-2pm,July 9-November 19,M,Y,Y,N,Y,40.595287,-73.776572,"(40.595287, -73.776572)"
Bronx,Harvest Home Mt. Eden Farmers' Market,"Claremont Park, Mt. Eden PKWY  & Morris Ave",Mt Eden Pkwy and Morris Ave,Bronx,NY,10457,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tue/Thu 8am-4pm,June 7-November 22,M,Y,Y,N,Y,40.84305,-73.90947,"(40.84305, -73.90947)"
Allegany,Fillmore Farmers' Market,"Fillmore Central School , 35 S Genesee St",35 South Genesee Street,Fillmore,NY,14735,Debra Wagoner,5856108836,,Sat 9am-1pm,May 28-October 1,M,Y,Y,N,Y,42.46481,-78.11218,"(42.46481, -78.11218)"
Monroe,Curbside Market-Charlotte Harbortower I,4575 Lake Ave Rochester,4575 Lake Avenue,Rochester,NY,14612,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Fri 1:30pm-2:30pm,Year-round,YR,Y,Y,N,Y,43.25492,-77.61411,"(43.25492, -77.61411)"
Onondaga,Gillie Brook Farm Stand,6147 Gillie Brook Rd.  Memphis,6147 Gillie Brook Road,Memphis,NY,13112,Robert Nogash,3156723706,http://www.gilliefarms.com,Sun  9am-1pm,May 1-Feb 28,P/M/X/W,N,Y,N,Y,43.07172,-76.35375,"(43.07172, -76.35375)"
Bronx,Van Cortlandt Park Alliance Farm Stand,Corner of Gale Place and Orloff Ave,98 Van Cortlandt Park South,Bronx,NY,10563,Sara Kempton,7186011553,,Wed 2p-7p,July 6-October 26,M,Y,Y,N,Y,40.88485,-73.89124,"(40.88485, -73.89124)"
Albany,Veggie Mobile-Howe Library,Schuyler & Broad St. Albany,Schuyler St and Broad Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 3pm-3:45pm,Year-round,YR,N,Y,N,Y,42.64112,-73.75802,"(42.64112, -73.75802)"
Nassau,Roosevelt Community Farm Stand,380 Nassau Rd  Roosevelt,380 Nassau Rd.,Roosevelt,NY,11575,Jacob Dixon,5165442955,http://www.choiceforall.org,Sun 11:30a-4p,July 17-October 29,M,Y,Y,N,Y,40.68172,-73.59132,"(40.68172, -73.59132)"
Westchester,TaSH Winter Farmers' Market,"250 West Main St Tarrytown, (Recreation Center Parking Lot)",250 West Main St,Tarrytown,NY,10591,Linda Eder,9144717437,http://www.tashfarmersmarket.org,"Sat 8:30a-12:30p, Alternate Sat",January 8-May 7,W/P,N,Y,Y,Y,41.07716,-73.86799,"(41.07716, -73.86799)"
Genesee,Genesee Country Tuesday Farmers' Market,Bank St. at Alva Place Batavia,Bank St and Alva Place,Batavia,NY,14020,Kathryn Cringoli,5853011909,,Tue 9am-4pm,June 3-October 28,M,Y,Y,N,Y,42.99905,-78.18151,"(42.99905, -78.18151)"
Niagara,Veggie Van MM-JD Senior Center,1201 Hyde Park Niagara Falls,1201 Hyde Park,Niagara Falls,NY,14301,Jen Regan,7164338839,http://www.facebook.com/CHPNiagara/?ref=hl,Thursday 11am-12 pm,June 14-October 20,M,N,Y,N,Y,43.09992,-79.02631,"(43.09992, -79.02631)"
St. Lawrence,Martin's Farm Stand,11 Needham Rd. Potsdam,11 Needham Rd.,Potsdam,NY,13676,Daniel Martin,3152651246,http://www.martinsfarmstand.com,"Daily 10am-6pm, Closed Sun",Year-Round,YR,Y,Y,N,Y,44.67107,-74.90401,"(44.67107, -74.90401)"
Cortland,Virgil Farmers' Market,"Hollenbecks Cider Mill, 1265 NY Rte 392 Cortland",1266 State Route 392,Virgil,NY,13045,Sara Hollenbeck,6078356455,,Sat 9am-12pm,June 4-October 29,M,Y,N,N,Y,42.51058,-76.19184,"(42.51058, -76.19184)"
Dutchess,Z Farms Farm Stand,355 Poplar Hill Rd.  Dover Plains,355 Poplar Hill Road,Dover Plains,NY,12522,Zachary Elwood,8456254798,http://www.zfarmsorganic.com,"Daily 10am-6pm, closed Wednesday",Year-round,YR,N,Y,N,Y,41.75631,-73.55278,"(41.75631, -73.55278)"
New York,Mount Sinai Hospital Greenmarket,1425 Madison Ave at E 99th St,East 99th St and Madison Ave,New York,NY,10029,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Wed 8am-5pm,June 15-November 23,M,Y,Y,N,Y,40.78918,-73.95276,"(40.78918, -73.95276)"
Niagara,Becken Farms Farm Stand,2585 Upper Mt. Rd Sanborn,2585 Upper Mt. Rd,Sanborn,NY,14132,Elaine Becken,7167313329,,Daily 9am-6pm,Year-round,YR,N,Y,N,Y,43.16823,-78.90518,"(43.16823, -78.90518)"
Herkimer,Northshire Farm Farm Stand,1067 US Highway 20 West Winfield,1067 US Highway 20,West Winfield,NY,13491,S. James Grillo,3157256226,http://www.northshirefarmstore.com,Daily 8am-7pm,Year-round,YR,Y,N,N,Y,42.89471,-75.14503,"(42.89471, -75.14503)"
Ulster,Phoenicia Farmers Market,85 Main St Phoenicia,85 Main St.,Phoenicia,NY,12464,Sophie Grant,9172942017,,Sun 10am-2pm,May 8-October 30,P/M,Y,Y,N,Y,42.08364,-74.31303,"(42.08364, -74.31303)"
Rensselaer,Veggie Mobile Sprout-O'Neil Apts,2121 6th Ave. Troy,2121 6th Ave.,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 3:30pm-4:15pm,Year-round,YR,N,Y,N,Y,42.73436,-73.68587,"(42.73436, -73.68587)"
Essex,Elizabethtown Farmers' Market,"7590 Court St., Behind Adirondack Center Museum",7590 Court St,Elizabethtown,NY,12932,Vicky Rayl,5186517680,http://www.adirondackfarmersmarket.com,Friday  9am-1pm,June 7-October 11,M,N,N,N,Y,44.21552,-73.59168,"(44.21552, -73.59168)"
Wayne,Wolcott Area Farmers' Market,Northup Park New Hartford St. Wolcott,Washington Street and New Hartford Street,Wolcott,NY,14590,David & Cindy Savary,3158790798,,Thu  1pm-6pm,May 26-October 13,P/M,N,N,N,Y,43.21855,-76.81491,"(43.21855, -76.81491)"
Greene,Stoneledge Farm Stand,145 Garcia Lane Leeds,145 Garcia Lane,Leeds,NY,12451,Candice Kavakos,5188199966,http://www.stoneledge.farm,Sat/Sun  9am-4pm,May 14-October 9,P/M,N,N,N,Y,42.27878,-73.95216,"(42.27878, -73.95216)"
Albany,Voorheesville Farmers' Market,"First United Methodist Church lot, 68 Maple Ave.",68 Maple Ave,Voorheesville,NY,12186,Dianne Luci,5187654536,,Wed  3:30pm-6:30pm,June 16-September 29,M,N,N,N,Y,42.64892,-73.92991,"(42.64892, -73.92991)"
Otsego,Cooperstown Saturday Farmers' Market,101 Main St. in Pioneer Alley near Keybank,101 Main St,Cooperstown,NY,13326,Karrie Larsson,6075476195,http://www.cooperstownfarmersmarket.org,"Sat 9am-2pm, 10am-2pm (Jan-Apr)",Year-round,YR,Y,Y,N,Y,42.70001,-74.92526,"(42.70001, -74.92526)"
Bronx,New Roots Community Farm Stand,670 Grand Concourse Bronx,670 Grand Concourse,Bronx,NY,10451,Sheryll Durrant,2123774747,,Sat 10am-3pm,July 9-October 29,M,Y,Y,N,Y,40.82172,-73.92524,"(40.82172, -73.92524)"
Clinton,Northern Orchard Farm Stand,470 Union Rd. Peru,470 Union Road,Peru,NY,12972,Jenna Mulbury,5186439718,http://www.northernorchard.com,Daily 10am-5pm,May 1-December 23,P/M/X,Y,Y,N,Y,44.5569,-73.53324,"(44.5569, -73.53324)"
Monroe,Curbside Market-YWCA Apartments,175 N. Clinton Ave Rochester,175 North Clinton Ave,Rochester,NY,14604,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Thu 3pm-4pm,Year-round,YR,Y,Y,N,Y,43.16073,-77.6082,"(43.16073, -77.6082)"
Oswego,Fulton Farmers' Market,"Canalview Mall Parking Lot , Off Route 41 Fulton",Canalview Mall,Fulton,NY,13069,Sara Broadwell,3155915491,http://www.oswegofultonchamber.com,Sat 8am-12pm,June 11-October 15,M,Y,Y,N,Y,43.3111,-76.40499,"(43.3111, -76.40499)"
New York,97th Street Greenmarket,125 W 97th St btwn Amsterdam & Columbus Aves,West 97th St and Columbus Ave,New York,NY,10025,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/west-97,Fri 8am-2pm,Year-round,YR,Y,Y,N,Y,40.79356,-73.96701,"(40.79356, -73.96701)"
Erie,MAP Mobile Market-Jericho Road Barton,Jericho Road Community Health Center - Barton Clinic,184 Barton Street,Buffalo,NY,14213,Danielle Rovillo,7168825327,http://www.mass-ave.org,Tue 11am-1pm,June 7-October 25,M,Y,Y,N,Y,42.9179,-78.89466,"(42.9179, -78.89466)"
Kings,Saratoga Farm Stand,1965-1971 Fulton St. Brooklyn,1965 Fulton Street,Brooklyn,NY,11233,Melony Samuels,7187733551,,Sat 9am-2pm,July 9-November 19,M,Y,Y,N,Y,40.67849,-73.9162,"(40.67849, -73.9162)"
Monroe,Rochester Public Market -Tuesday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Tue 6am-1pm,Year-round,YR,Y,Y,Y,Y,43.1657,-77.59016,"(43.1657, -77.59016)"
Queens,Sunnyside Greenmarket,41-15 Skillman Ave at 42nd St,Skillman Ave and 42nd St,Sunnyside,NY,11104,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/queens/sunnyside,Sat 8am-2pm,Year-round,YR,Y,Y,N,Y,40.74694,-73.92139,"(40.74694, -73.92139)"
Cattaraugus,Little Valley Farmers' Market,103 Rock City St. Little Valley,103 Rock City Street,Little Valley,NY,14475,Tina Armstrong,7162006946,,Thu 2pm-6pm,May 5-October 27,M,Y,Y,N,Y,42.2489,-78.7989,"(42.2489, -78.7989)"
Nassau,The Garden at St. Francis Farm Stand,1692 Bellmore Ave N. Bellmore,1692 Bellmore Ave,North Bellmore,NY,11710,Kristin Talbot,5166791184,http://www.stfrancisbellmore.org/the-garden,Sun 11am-2pm,June 26-October 23,M,Y,N,N,Y,40.68156,-73.53528,"(40.68156, -73.53528)"
Chautauqua,Richard Feinen Farms Farm Stand,3251 Route 39 Forestville,3251 Route 39,Forestville,NY,14062,Richard Feinen,7166805462,,Daily 10am-6pm,June-November,M,Y,N,N,Y,42.46786,-79.27186,"(42.46786, -79.27186)"
Monroe,Curbside Market-Danforth Towers,140 West Ave Rochester,140 West Avenue,Rochester,NY,14611,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Thu 1:30pm-2:30pm,Year-round,YR,Y,Y,N,Y,43.15038,-77.64166,"(43.15038, -77.64166)"
