County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference
MONROE,261795,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SUNSCAPE FARMS,SAVAGE NATHAN,585-773-8020,1510 & 1532,MAIDEN LANE,,,ROCHESTER,NY,14626,POINT (-77.683384 43.223662)
MONTGOMERY,646143,Nursery Stock Only,10 Acres or Less,,LYNDAKER FARMS,JASON CRAWFORD,,483,PARIS RD,,,FORT PLAIN,NY,13339,POINT (-74.693266 42.9558)
OTSEGO,646344,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CHERRY VALLEY GRHSE,MATTHEW & PRISCILLA FISHER,315-823-0629,599,CO HWY 32A,,,CHERRY VALLEY,NY,13320,
SUFFOLK,474243,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",DAISY GARDEN CORP,DAISY GARDEN CORPORATION,631-363-2708,18,PARK AVENUE,,,BLUE POINT,NY,11715,POINT (-73.03458 40.762855)
SUFFOLK,645298,Nursery Stock Only,11-100 Acres,,GREENLAWN SOD FARMS INC,MICHAEL DELEA,,5186,ROUTE 25A,,,WADING RIVER,NY,11792,
STEUBEN,645645,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",KEUKA VIEW GREENHOUSE,JAY PAUL MARTIN,607-292-6188,9915,KEUKA HILL ROAD,,,DUNDEE,NY,14837,POINT (-77.118819 42.486398)
TOMPKINS,502733,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",HOLLOW ORCHIDS & HERBS,MOLENOCK JOANE,607-277-3380,71,GERMAN CROSSROAD,,,ITHACA,NY,14850,POINT (-76.432787 42.403991)
CAYUGA,645090,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",BREEZY ACRES FARM MARKET,LAMAR WITMER,,3841,MELROSE ROAD,,,AUBURN,NY,13021,POINT (-76.478324 42.910243)
ALLEGANY,22805,Nursery Stock Only,101 Acres or More,,KENT FARMS INC,KENT FARMS INC,607-478-8805,1764,JONES ROAD,,,ANDOVER,NY,14806,POINT (-77.823538 42.170145)
SUFFOLK,472518,Nursery Stock Only,11-100 Acres,,BAITING HOLLOW NURSERY,LEWIN HOWARD ERNEST,631-929-4227,830,SOUND AVENUE,,,CALVERTON,NY,11933,POINT (-72.806107 40.948826)
ERIE,144275,Nursery Stock Only,11-100 Acres,,LAKESIDE SOD SPLY CO IN,LAKESIDE SOD SUPPLY CO INC,716-741-2877,,FREY FARM-8850 GOODRICH ROAD,,,CLARENCE CENTER,NY,14032,POINT (-78.635823 43.03674)
CHENANGO,80774,Nursery Stock Only,11-100 Acres,,PERFECT CIRCLE FORESTRY LLC,PERFECT CIRCLE FORESTRY LLC,607-967-5505,814,COUNTY ROAD 38,,,BAINBRIDGE,NY,13733,POINT (-75.486561 42.347617)
WYOMING,645391,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ENVIRONMENTAL DESIGN LANDSCAPING,JOSEPH SIMMS,716-983-3551,447,CLINTON STREET,,,COWLESVILLE,NY,14037,POINT (-78.454944 42.837745)
WARREN,520587,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",BINLEY FLORIST INC,BINLEY FLORIST INC,518-793-9603,773,QUAKER ROAD,,,QUEENSBURY,NY,12804,POINT (-73.612152 43.315765)
JEFFERSON,221136,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",THOUSAND IS BRIDGE AUTHORITY,THOUSAND ISLAND BRIDGE AUTHORITY,315-482-2501,43723,COLLINS LANDING RD,,,ALEXANDRIA BAY,NY,13607,POINT (-75.980905 44.300445)
GENESEE,182826,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",TRIPLE P FARMS LLC,RINER DANIEL B,585-948-8100,9,ORCHARD STREET,,,OAKFIELD,NY,14125,POINT (-78.26781 43.061293)
SUFFOLK,476106,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",PLANT CONNECTION INC,PLANT CONNECTION INC,631-722-8111,5873,SOUND AVENUE,,,RIVERHEAD,NY,11901,POINT (-72.599684 40.980176)
BROOME,646450,Nursery Stock Only,10 Acres or Less,,HARPUR HILL FRUIT FARM LLC,JON M. ANDERSON JR,607-693-1059,1218,E. WINDSOR RD,,,NINEVEH,NY,13813,POINT (-75.586929 42.140319)
NIAGARA,295809,Nursery Stock Only,101 Acres or More,,LAKESIDE SOD SPLY CO IN,LAKESIDE SOD SUPPLY CO INC,716-741-2877,,OFFICE TV BOOT TONAWAND CREEK,,,ROYALTON,NY,14094,POINT (-78.693851 43.157671)
ERIE,142838,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MASTERSONS GARDEN CENTER INC,MASTERSONS GARDEN CENTER INC,716-655-0133,725,OLEAN ROAD,,,EAST AURORA,NY,14052,POINT (-78.603536 42.746616)
MONROE,643824,Nursery Stock Only,10 Acres or Less,,HIGH BID FARM,ROBERT GEIGER,585-637-0656,550,BEADLE RD,,,BROCKPORT,NY,14420,POINT (-77.918091 43.161829)
OSWEGO,352606,Nursery Stock Only,11-100 Acres,,LEONARDS EVERGREENS,LEONARD JOHN,315-564-5798,70,DUNHAM ROAD,,,MARTVILLE,NY,13111,POINT (-76.5877 43.273093)
ESSEX,646172,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",ADIRONDACK VIEW VINEYARD,LINDSEY PASHOW,518-572-9186,59,THOMPSON ROAD,,,KEESEVILLE,NY,12944,POINT (-73.465037 44.484738)
TOMPKINS,646099,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DARING DRAKE FARM,SHANNON O'CONNOR,607-532-4956,545,3RD STREET,,,ITHACA,NY,14850,POINT (-76.507854 42.449578)
ULSTER,646028,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SEED SONG FARM & CENTER,CHRISTOPHER L IVERSEN,845-902-8154,160,ESOPUS AVENUE,,,KINGSTON,NY,12401,POINT (-74.003681 41.955689)
CHENANGO,85600,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",HELLERS FARM,HELLER SETH & DEBBIE,607-967-8321,1157,COUNTY ROUTE 39,,,BAINBRIDGE,NY,13733,
FRANKLIN,166446,Nursery Stock Only,10 Acres or Less,,WES MOODY THE LLC,WES MOODY THE LLC,518-891-4147,60,CTY RTE 55,MOODY TREE FARM,,SARANAC LAKE,NY,12983,
SARATOGA,415816,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",BENS GREENHOUSE,FRONCZEK CAROLYN A,518-371-7947,268,GROOMS ROAD,,,CLIFTON PARK,NY,12065,POINT (-73.751149 42.83693)
WESTCHESTER,645475,Nursery Stock Only,10 Acres or Less,,BAYLEY AND ROTHFEDER LLC,AMANDA BAYLEY AND JEFFREY ROTHFEDER,315-752-6877,1426,WASHINGTON STREET,,,CORTLANDT MANOR,NY,10567,POINT (-73.91163 41.251942)
ERIE,144902,Nursery Stock Only,11-100 Acres,,SCHICHTELS NURSERY INC,SCHICHTELS NURSERY INC,716-592-9383,,CONCORD RD,,,SPRINGVILLE,NY,14141,POINT (-78.702261 42.522613)
ONEIDA,646287,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",MAQS FARM,SAMANTHA PETSCAUER,315-717-9041,10788,COMMONS RD,,,REMSEN,NY,13438,POINT (-75.178062 43.370078)
MONTGOMERY,645152,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SCOTCH BUSH HERB & TREE FARM,TERENCE NEZNEK,518-843-6293,6907,STATE HWY 30,,,AMSTERDAM,NY,12010,POINT (-74.200179 42.84574)
DUTCHESS,644587,Nursery Stock Only,10 Acres or Less,,LUCULE LLC DBA BEAR CREEK FARM,DEBRA KAYE,845-868-7928,6187,ROUTE 82,,,STANFORDVILLE,NY,12581,POINT (-73.696789 41.875771)
DUTCHESS,643974,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ADAMS FAIRACRE FARMS INC,RALPH ADAMS,845-454-4330,160,OLD POST RD,,,WAPPINGERS FALLS,NY,12590,POINT (-73.908692 41.5735)
SUFFOLK,644138,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",FINKS COUNTRY FARM INC,DAVID T FINK,631-886-2272,6242,MIDDLE COUNTRY RD,,,MANORVILLE,NY,11949,POINT (-72.837012 40.913076)
SUFFOLK,475360,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",GABRIELSEN FLORIST,GABRIELSEN ERIC,631-588-5452,246,HERRICKS LANE,,,JAMESPORT,NY,11947,POINT (-72.578223 40.963622)
YATES,646159,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",JOHN DAVID HOOVER,JOHN DAVID HOOVER,607-243-9867,1556,BENNETT ROAD,,,DUNDEE,NY,14837,POINT (-77.011518 42.547202)
SUFFOLK,646263,Combined Nursery and Greenhouse,10 Acres or Less,,INVINCIBLE SUMMER FARMS,"STEPH GAYLOR, KINGA KOREH",631-512-8270,1475,WESTPHALIA RD,,,MATTITUCK,NY,11952,POINT (-72.540728 40.992496)
BROOME,645815,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",COUNTRY MARKETPLACE,EDWARD G BAILEY,607-775-3844,873,NY ROUTE 11,,,KIRKWOOD,NY,13795,POINT (-75.824594 42.091739)
SUFFOLK,474093,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",HULSES POTTING SHED,HULSE DAVID AND DEBORAH,631-878-7463,45,BANK STREET,,,CENTER MORICHES,NY,11934,POINT (-72.794207 40.801251)
OTSEGO,645680,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",AMY M HURLEY,AMY M HURLEY,315-880-3770,5736,US HIGHWAY 20,,,EAST SPRINGFIELD,NY,13333,POINT (-74.813122 42.830897)
OTSEGO,645268,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NEW ASBURY GARDENS,BRIAN FAWCETT,607-432-8703,248,RIVER STREET,,,ONEONTA,NY,13820,POINT (-75.088568 42.444536)
FRANKLIN,645576,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",HIDDEN VIEW GREENHOUSE,NOAH DETWEILER,,16,CAVANAUGH CORNERS ROAD,,,BOMBAY,NY,12914,POINT (-73.749613 44.241568)
ORANGE,332763,Combined Nursery and Greenhouse,11-100 Acres,"20,001 SqFt of Glass or More",SILVERLEAF GRNHSES INC,SILVERLEAF GREENHOUSES INC,914-778-7099,2736,STATE ROUTE 208,,,WALDEN,NY,12586,POINT (-74.188384 41.579823)
LEWIS,643970,Nursery Stock Only,10 Acres or Less,,ZEHR'S FLOWERS & LANDSCAPING,"WIDRICK, SAMANTHA",,8457,VAN AMBER ROAD,,,CASTORLAND,NY,13620,POINT (-75.473463 43.857031)
WESTCHESTER,552291,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MEADOWS FARM,WOODARD RICHARD,914-962-4306,329,UNDERHILL AVENUE,,,YORKTOWN HEIGHTS,NY,10598,POINT (-73.781326 41.269652)
ORLEANS,346921,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",STYMUS FARMS LLC,STYMUS EDWARD,585-331-1064,13991,MAPLE STREET,,,ALBION,NY,14411,POINT (-78.218737 43.185627)
MONTGOMERY,644752,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BELLA TERRA FARM,PAUL VARCO,518-673-5673,418,LYNK ST,,,SPRAKERS,NY,12166,POINT (-74.455719 42.830962)
ORANGE,645715,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GOLBEN FARMS,PAMELA GOLBEN,845-651-1954,142,SOUTH MAIN STREET,,,FLORIDA,NY,10921,POINT (-74.353323 41.32215)
SUFFOLK,472616,Nursery Stock Only,11-100 Acres,,DELEA LEASING CORP  DBA DELEA SOD FARMS,DELEA LEASING CORP DBA DELEA SOD FARMS,631-368-8022,,OREGON AND DEPOT ROAD,,,CUTCHOGUE,NY,11935,POINT (-72.480611 41.014035)
SCHOHARIE,434272,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",SEEBOLD FARM,YON SUK SEEBOLD,518-295-8602,34,CHURCH STREET,,,HOWES CAVE,NY,12092,
JEFFERSON,221254,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",5 CORNERS GREENHOUSE,BIONDOLILLO SAMUEL & DEBORAH,315-783-5600,27516,FIVE CORNERS ROAD,,,CALCIUM,NY,13616,POINT (-75.820569 44.025261)
COLUMBIA,104899,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",SAMASCOTT ORCHARDS LLC,SAMASCOTT RONALD AND GARY,518-758-9292,65,CHATHAM STREET,,,KINDERHOOK,NY,12106,POINT (-73.693837 42.403518)
RICHMOND,642455,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SCALICI VICTOR FLORIST,SCALICI VICTOR,718-981-2469,523,PORT RICHMOND AVENUE,,,STATEN ISLAND,NY,10302,POINT (-74.140071 40.630097)
MONROE,266163,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MONROE DEPT OF PARKS,MONROE COUNTY,585-753-3081,750,EAST HENRIETTA ROAD,,,ROCHESTER,NY,14623,POINT (-77.61576 43.105884)
SUFFOLK,473680,Nursery Stock Only,10 Acres or Less,,MIKES TREE FARM,KOUTSOUBIS MICHAEL,631-874-3551,323,WEEKS AVENUE,,,MANORVILLE,NY,11949,POINT (-72.841587 40.836719)
ERIE,144287,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",AMOS ZITTEL &SONS INC,ZITTEL AMOS&SONS INC,716-992-4574,3208,BLEY ROAD,,,EDEN,NY,14057,POINT (-78.87271 42.680276)
CATTARAUGUS,43582,Nursery Stock Only,11-100 Acres,,FOREVERGREENS,ROSIER JOHN C,716-560-8004,11398,BOLTON ROAD,,,SPRINGVILLE,NY,14141,POINT (-78.58302300000001 42.493142)
CAYUGA,644705,Nursery Stock Only,10 Acres or Less,,LINDA HORST,LINDA HORST,315-252-0910,309,W GENESEE STREET RD,,,CAYUGA,NY,13034,POINT (-76.712234 42.920942)
RENSSELAER,380015,Nursery Stock Only,101 Acres or More,,SARATOGA SOD FARM INC,SARATOGA SOD FARM INC,518-664-5038,,WEIR ROAD,,,SCHAGHTICOKE,NY,12154,POINT (-73.601518 42.931823)
TOMPKINS,645115,Nursery Stock Only,10 Acres or Less,,DANBY FARMS,JEANINE HUBER AND GERARD DUNPHY,607-319-6085,222,BALD HILL ROAD,,,SPENCER,NY,14883,POINT (-76.493947 42.340557)
CHENANGO,645940,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MOUNTAIN VIEW GREENHOUSES LLC,DEREK GAGER,607-427-6619,105,MOUNTAIN VIEW DRIVE,,,SHERBURNE,NY,13460,POINT (-75.51600500000002 42.701041)
ONONDAGA,645553,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",WHISKEY HOLLOW SPIRITS,MARLA BARTON AND KRISTEN MUNCY,,7496,KINGDOM ROAD,,,BALDWINSVILLE,NY,13027,POINT (-76.418046 43.133377)
SUFFOLK,646138,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",RECKNER GREENHOUSES & FARMS LLC,ALEXANDER P RECKNER,631-249-8053,309,OLD EAST NECK RD,,,MELVILLE,NY,11747,POINT (-73.404344 40.771231)
NIAGARA,293275,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",RICKARD NURSERY GROWERS,RICKARD CALVIN L,716-622-0811,3642,CHECKER TAVERN ROAD,,,LOCKPORT,NY,14094,POINT (-78.621329 43.235164000000005)
CAYUGA,645657,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",CENTURION FARM LLC,NINA & JEFFWEY SAELI,706-315-7471,287,CREEK ROAD,,,LOCKE,NY,13092,POINT (-76.454432 42.630992)
NASSAU,280034,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",HICKS NURSERIES INC,HICKS NURSERIES INC,516-334-0066,100,JERICHO TPKE,,,WESTBURY,NY,11590,POINT (-73.596264 40.764977)
ERIE,646216,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",KWILOS FARMS,EMILY AND JOSEPH KWILOS,716-352-8111,1177,CHURCH ROAD,,,ANGOLA,NY,14006,POINT (-79.015429 42.661514)
WESTCHESTER,645822,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PIGGY GREENS MICROGREENS LLC,AMANDA HAMMOND,914-804-3373,15,FRANKLIN AVENUE,,,BEDFORD HILLS,NY,10507,POINT (-73.684614 41.24221)
SULLIVAN,482321,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",WILCOXS JOHN GREENHOUSE,WILCOX JOHN,607-498-4625,655,COUNTY ROAD 93,,,ROSCOE,NY,12776,POINT (-74.998643 41.868553)
SENECA,645071,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BLUE HERON FARM,ERIK LANDOWNE,607-582-6336,1641,SHAW ROAD,,,LODI,NY,14860,POINT (-76.856436 42.601512)
NASSAU,280707,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",STARKIE BROS GARDEN CENTER,STARKIE GEORGE H AND JOHN W,516-293-7148,721,MAIN STREET,,,FARMINGDALE,NY,11735,POINT (-73.441824 40.723044)
SUFFOLK,471135,Combined Nursery and Greenhouse,11-100 Acres,"20,001 SqFt of Glass or More",SPITZNER CHARLES NURSERY LLC,SPITZNER CHARLES NURSERY LLC,631-878-1021,389,CHAPMAN BOULEVARD,,,MANORVILLE,NY,11949,POINT (-72.789219 40.835533)
SUFFOLK,474799,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",NORTH FORK GREENHOUSES INC,JEFFREY BATCH,631-727-6762,734,HORTON AVENUE,,,RIVERHEAD,NY,11901,POINT (-72.712082 40.95524)
SUFFOLK,643912,Nursery Stock Only,10 Acres or Less,,SCHLECHT NURSERY INC,SCHNECHT NURSERY,,12,N BERNSTEIN BLVD,,,MANORVILLE,NY,11949,POINT (-72.784849 40.826181)
COLUMBIA,104691,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",GHERARDI GREENHSES,GHERARDI JOHN,518-325-4587,45,UNDERHILL ROAD,,,HILLSDALE,NY,12529,POINT (-73.52242 42.171471)
CHAUTAUQUA,643949,Nursery Stock Only,11-100 Acres,,DOUBLE A VINEYARDS INC,DOUBLE A VINEYARDS INC,716-672-8493,,KUHRT RD EAST OF KING RD,,,FORESTVILLE,NY,14062,POINT (-79.152324 42.446985)
ORANGE,646334,Nursery Stock Only,10 Acres or Less,,D'ARTAGNAN FARMS FOUNDATION,ARIANE DAGUIN,973-344-0565,221,CRAIGVILLE ROAD,,,GOSHEN,NY,10924,POINT (-74.2949 41.398312)
SCHOHARIE,644777,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MAPLE GROVE GREENHOUSE,IVA MAE WENGERD,,104,GORDON RD,,,COBLESKILL,NY,12043,POINT (-74.509055 42.730137)
SUFFOLK,472499,Nursery Stock Only,11-100 Acres,,WHITMAN NURSERIES INC,WHITMAN NURSERIES INC,631-722-3000,332,MANOR LANE,PO BOX 626,,JAMESPORT,NY,11947,POINT (-72.589112 40.960082)
ONONDAGA,311338,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ROSE HILL HOUSE FARMS,SATTER KRAIG,315-382-8076,2770,ROSE HILL RD,,,MARIETTA,NY,13110,POINT (-76.341807 42.905474)
SUFFOLK,644288,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",WADING RIVER NURSERY AND GARDEN SUPPLY,STIRIZ KAREN ANN,631-929-8737,5920,NORTH COUNTRY RD,,,WADING RIVER,NY,11792,POINT (-72.824651 40.94615)
CHAUTAUQUA,66040,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ABERS ACRES,"ABERS JOHN, SUE & ADAM",716-267-2431,884,ROUTE 394,,,KENNEDY,NY,14747,POINT (-79.109543 42.145541)
ALBANY,16258,Nursery Stock Only,10 Acres or Less,,ALTAMONT CTRY VALUESINC,ALTAMONT CTRY VALUESINC,518-861-8061,106,PROSPECT TERRACE,,,ALTAMONT,NY,12009,POINT (-74.034657 42.701659)
DUTCHESS,136909,Nursery Stock Only,10 Acres or Less,,CRM,MATTHEWS JAMES SALVATI LAURA,845-849-2055,12,HACKENSACK HEIGHTS ROAD,,,WAPPINGERS FALLS,NY,12590,POINT (-73.872853 41.62574)
SUFFOLK,473353,Combined Nursery and Greenhouse,11-100 Acres,"20,001 SqFt of Glass or More",HELENS GREENHOUSE & FLOWER FARM INC,HELENS GRNHSE&FLOWRFARM INC,631-722-5076,,UNION AVENUE,PO BOX 524,,AQUEBOGUE,NY,11931,POINT (-72.637606 40.939435)
YATES,646392,Nursery Stock Only,10 Acres or Less,,PARADISE GARDENS,ARLON NOLT ANNETTA NOLT,315-536-5843,1682,BAKER RD,,,PENN YAN,NY,14527,POINT (-77.01867100000001 42.593303)
ST. LAWRENCE,400451,Nursery Stock Only,11-100 Acres,,BEAR DANCE TREE FARM,WELBERGEN HANS,407-760-3752,401,LINCOLN ROAD,,,CANTON,NY,13617,POINT (-75.250497 44.559181)
TOMPKINS,503832,Nursery Stock Only,10 Acres or Less,,STONEPOST NURSERY,CARDINA TIMOTHY,607-387-5842,3224,SWAMP COLLEGE ROAD,,,TRUMANSBURG,NY,14886,POINT (-76.625512 42.509953)
MONTGOMERY,646212,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",RAINBOWS AND SUNSHINE,MARY KING,518-993-4937,276,FREYSBUSH RD,,,FORT PLAIN,NY,13339,POINT (-74.695026 42.923524)
ERIE,141406,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",H G MILLER FARM INC,H G MILLER FARM INC,716-684-2787,8150,CLINTON STREET,,,ELMA,NY,14059,POINT (-78.585387 42.856213)
ONTARIO,645400,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",WALNUT HILL FARM,DARVIN WEAVER,585-526-5526,4917,WEST SWAMP ROAD,,,STANLEY,NY,14561,POINT (-77.153171 42.789259)
ONTARIO,321815,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",THE VIOLET BARN,ROBINSON RALPH & OLIVE MA,585-374-8592,7209,COUNTY ROAD #12,,,NAPLES,NY,14512,POINT (-77.372771 42.666959)
ALLEGANY,646058,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",YODERS GREENHOUSE,ANDY YODER,,1210,STATE ROAD 248A,,,WHITESVILLE,NY,14897,POINT (-77.802487 42.028609)
HERKIMER,645690,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MYSTIC RIDGE GARDENS,IVAN FASSETT,607-437-1794,4539,US 20,,,RICHFIELD SPRINGS,NY,13439,POINT (-74.901284 42.84361)
SUFFOLK,643744,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",EMMAS GARDEN GROWERS INC,ERIC KEIL,631-692-7627,30,EAST GATE DRIVE,,,HUNTINGTON,NY,11743,POINT (-73.445465 40.829865)
HERKIMER,213554,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",THE FLOWER BARN,MCDOWELL ROBERT J,315-895-4313,1480,BARRINGER ROAD,,,ILION,NY,13357,POINT (-75.073318 42.993828)
COLUMBIA,104809,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",THE FARM AT  MILLERS CROSSING,KATIE SMITH AND CHRIS CASHEN,518-851-2331,81,ROXBURY ROAD,,,HUDSON,NY,12534,POINT (-73.69181 42.233503)
MADISON,644938,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SPRUCE RIDGE LANDSCAPE,AMANDA HARVEY KOGUT,315-655-2477,4004,ERIEVILLE ROAD,,,CAZENOVIA,NY,13035,POINT (-75.776498 42.9158)
SCHOHARIE,434271,Nursery Stock Only,10 Acres or Less,,SEEBOLD FARM,YON SUK SEEBOLD,518-868-4376,2554,STATE HIGHWAY 7,,,COBLESKILL,NY,12043,POINT (-74.429081 42.68147600000001)
ROCKLAND,645430,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BLUEFIELD FARM LLC,JOY MACY,845-598-4109,690,WESTERN HWY,,,BLAUVELT,NY,10913,POINT (-73.961757 41.075359)
SUFFOLK,474266,Combined Nursery and Greenhouse,11-100 Acres,"20,001 SqFt of Glass or More",KEIL NORMAN NURSERY,N & O HORTICULTURAL PRODUCTS LTD,631-584-6330,4735,WESTPHALIA AVENUE,,,MATTITUCK,NY,11952,POINT (-72.55247 40.993944)
NEW YORK,625495,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PARDIS PLANTS INC DBA FOLIAGE GARDEN,PARDIS PLANTS INC,212-6454106,120,WEST 28TH ST,,,NEW YORK,NY,10001,POINT (-73.991556 40.746477)
