,Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference,zip
49,Saint Peter's Episcopal Church Complex,Delaware,07/31/1998,97NR01284,-74.6695856688,42.3700217436,POINT (-74.6695856688 42.3700217436),13788
50,Alfred Renshaw House,Albany,10/03/1985,90NR02788,-73.7499861201,42.7238322329,POINT (-73.7499861201 42.7238322329),12211
51,"Austen, Elizabeth Alice, House",Richmond,07/28/1970,90NR01027,-74.0630944864,40.6152189212,POINT (-74.0630944864 40.6152189212),10305
52,133 East 80th Street,New York,08/16/2010,10NR06121,-73.9584915394,40.775933932,POINT (-73.9584915394 40.775933932),10021
53,Batavia Club,Genesee,06/19/1973,90NR00526,-78.1816335332,42.997632482,POINT (-78.1816335332 42.997632482),14020
54,Oak Hill Methodist Episcopal Church,Greene,11/01/2006,04NR05383,-74.1545646694,42.41225758,POINT (-74.1545646694 42.41225758),12460
55,Waterloo Commercial Historic District,Seneca,04/17/2017,16NR00038,-76.8628081096,42.9047995758,POINT (-76.8628081096 42.9047995758),13165
56,Owego Central Historic District,Tioga,12/03/1980,90NR02238,-76.2619891719,42.102935507,POINT (-76.2619891719 42.102935507),13827
57,"Johnston, Edwin M. and Emily S., House",Erie,05/23/1997,97NR01206,-78.8734242255,42.9162093009,POINT (-78.8734242255 42.9162093009),14222
58,Brick Presbyterian Church,Wyoming,10/03/2007,07NR05715,-78.0005980375,42.7206369752,POINT (-78.0005980375 42.7206369752),14530
59,Glenfields,Putnam,11/23/1982,90NR02368,-73.9528993363,41.3511776036,POINT (-73.9528993363 41.3511776036),10524
60,Sanford W. and Maude Smith House,Columbia,02/28/2020,19NR00093,-73.5909009646,42.3672385231,POINT (-73.5909009646 42.3672385231),12037
61,Pelham Firehouse,Westchester,,03NR05112,-73.8082348891,40.9148018524,POINT (-73.8082348891 40.9148018524),10803
62,North Settlement Methodist Church,Greene,05/16/1996,96NR00979,-74.2954629011,42.3377405798,POINT (-74.2954629011 42.3377405798),12496
63,Buck's Bridge United Methodist Church,St. Lawrence,09/15/2004,03NR05167,-75.1602794432,44.7027445698,POINT (-75.1602794432 44.7027445698),13660
64,Park and Tilford Building,New York,05/01/2009,08NR05937,-73.944766703,40.8081060834,POINT (-73.944766703 40.8081060834),10027
65,Matton Shipyards,Albany,07/24/2009,08NR05868,-73.6804832303,42.7790185702,POINT (-73.6804832303 42.7790185702),12047
66,Hertlein and Schlatter Silk Trimmings Factory,Bronx,02/05/2001,00NR01719,-73.9159434037,40.8142394996,POINT (-73.9159434037 40.8142394996),10455
67,Rivoli Theater,Sullivan,01/26/2001,00NR01698,-74.6287915351,41.7096140822,POINT (-74.6287915351 41.7096140822),12779
68,Cobblestone House,Steuben,09/30/1983,90NR02023,-77.3240472316,42.3381610832,POINT (-77.3240472316 42.3381610832),14810
69,DuBois-Deyo House,Ulster,11/25/1994,94NR00748,-74.0853497319,41.8056878945,POINT (-74.0853497319 41.8056878945),12561
70,"Cramer, Frederick, House",Albany,10/03/1985,90NR02768,-73.7697834942,42.6974568282,POINT (-73.7697834942 42.6974568282),12211
71,Thirty Mile Point Light,Niagara,07/19/1984,90NR01960,-78.4868111976,43.3747429826,POINT (-78.4868111976 43.3747429826),14012
72,George W. Johnson Park Carousel,Broome,01/25/1992,91NR00076,-76.0505181992,42.1112552744,POINT (-76.0505181992 42.1112552744),13760
73,"Aiken, John. J., House",Cattaraugus,02/20/2013,12NR06412,-78.6786919414,42.2985119717,POINT (-78.6786919414 42.2985119717),14731
74,"Whitmore, John T., House",Broome,08/14/1986,90NR00083,-75.9215019784,42.0989193485,POINT (-75.9215019784 42.0989193485),13905
75,Onesquethaw Valley Historic District,Albany,01/17/1974,90NR02802,-73.9030825849,42.5552368939,POINT (-73.9030825849 42.5552368939),12067
76,"Ball, J., House",Tioga,07/02/1984,90NR02224,-76.1861398329,42.2962820882,POINT (-76.1861398329 42.2962820882),13736
77,Our Lady of Mount Carmel Grotto,Richmond,11/02/2000,00NR01652,-74.074807994,40.6122158754,POINT (-74.074807994 40.6122158754),10305
78,Quaker Ridge Golf Club,Westchester,11/23/2020,17NR00019,-73.76296151,40.9692553684,POINT (-73.76296151 40.9692553684),10583
79,Germania Wine Cellars,Steuben,11/02/2000,00NR01700,-77.2491551104,42.4037257028,POINT (-77.2491551104 42.4037257028),14840
80,Olean Armory,Cattaraugus,03/02/1995,95NR00775,-78.4283350497,42.0783622953,POINT (-78.4283350497 42.0783622953),14760
81,First Congregational Church of Bay Shore,Suffolk,05/03/2002,01NR01795,-73.2459734032,40.7261091454,POINT (-73.2459734032 40.7261091454),11706
82,Cold Spring Cemetery Gatehouse,Putnam,11/23/1982,90NR02389,-73.9444029913,41.4221833393,POINT (-73.9444029913 41.4221833393),10516
83,Yonkers Trolley Barn,Westchester,03/06/2002,01NR01765,-73.9028965357,40.934353816,POINT (-73.9028965357 40.934353816),10701
84,'Sunset Hill',Herkimer,01/04/2007,06NR05655,-74.9783132866,42.8580511816,POINT (-74.9783132866 42.8580511816),13439
85,Gardner House,Albany,11/10/1982,90NR01656,-74.0006027983,42.6728193689,POINT (-74.0006027983 42.6728193689),12009
86,"Hoster, William, House",Seneca,12/31/2002,02NR04984,-76.8118104239,42.8393209685,POINT (-76.8118104239 42.8393209685),13065
87,North Salem Town Hall,Westchester,09/04/1980,90NR02455,-73.5979957932,41.3292749764,POINT (-73.5979957932 41.3292749764),10560
88,"Haughwout, E. V., Building",New York,08/28/1973,90NR00814,-74.0026937807,40.7234264746,POINT (-74.0026937807 40.7234264746),10012
89,Ladentown United Methodist Church,Rockland,09/07/2005,05NR05445,-74.0674378076,41.1853907032,POINT (-74.0674378076 41.1853907032),10970
90,U.S. Military Academy,Orange,10/15/1966,90NR02302,-73.972425049,41.3947917163,POINT (-73.972425049 41.3947917163),10996
91,Chapman Residence,Onondaga,02/14/1997,96NR01113,-76.156360957,43.0675661873,POINT (-76.156360957 43.0675661873),13208
92,Reformed Protestant Dutch Church of Klyne Esopus,Ulster,11/15/2002,02NR04957,-73.970085686,41.8541397311,POINT (-73.970085686 41.8541397311),12429
93,Reed Memorial Library,Putnam,03/28/1980,90NR02358,-73.6780354299,41.4219513967,POINT (-73.6780354299 41.4219513967),10512
94,Merchants Refrigerating Company Warehouse,New York,05/31/1985,90NR00733,-74.0076919584,40.7440659193,POINT (-74.0076919584 40.7440659193),10011
95,Holley-Rankine House,Niagara,10/04/1979,90NR01967,-79.055199182,43.0816400996,POINT (-79.055199182 43.0816400996),14303
96,United States Post Office-Port Jervis,Orange,05/11/1989,90NR02325,-74.6920694979,41.3750414314,POINT (-74.6920694979 41.3750414314),12771
97,Glens Falls Feeder Canal,Warren,10/25/1985,90NR02738,-73.6119301365,43.3039154434,POINT (-73.6119301365 43.3039154434),12803
98,First Congregational Church and Cemetery,Essex,01/05/2005,04NR05332,-73.5678300776,44.2758366192,POINT (-73.5678300776 44.2758366192),12950
99,"Davis, Phineas, Farmstead",Oswego,06/20/1991,91NR00022,-76.2270239356,43.464853347,POINT (-76.2270239356 43.464853347),13114
100,Hallock-Bilunas Farmstead,Suffolk,04/18/2003,02NR04929,-72.5914684609,40.9783454374,POINT (-72.5914684609 40.9783454374),11901
101,"Saratoga Gas, Electric Light and Power Co. Complex",Saratoga,05/01/2001,00NR01614,-73.7751265288,43.0900403957,POINT (-73.7751265288 43.0900403957),12866
102,Traver House,Dutchess,07/09/1987,90NR00356,-73.8966575824,41.9417287917,POINT (-73.8966575824 41.9417287917),12572
103,Rogers House,Suffolk,09/26/1985,90NR01840,-73.4167881245,40.8677613554,POINT (-73.4167881245 40.8677613554),11743
104,Quogue Historic District,Suffolk,02/02/2016,15NR00027,-72.601934522,40.8177760212,POINT (-72.601934522 40.8177760212),11959
105,St. Mark's Lutheran Church,Albany,11/10/1982,90NR01634,-73.9689841952,42.7044906406,POINT (-73.9689841952 42.7044906406),12009
106,Clinton Hall,Tompkins,07/07/1988,90NR02265,-76.4993179273,42.4398499186,POINT (-76.4993179273 42.4398499186),14850
107,Substation #409 (IND),New York,02/09/2006,05NR05421,-73.9870301859,40.7214635744,POINT (-73.9870301859 40.7214635744),10002
108,Scotchtown Cemetery,Chemung,12/23/2009,08NR05846,-76.6987849896,42.1767433502,POINT (-76.6987849896 42.1767433502),14838
109,Niagara Power Project Historic District,Niagara,07/03/2017,16NR00128,-79.0026702541,43.1438891265,POINT (-79.0026702541 43.1438891265),
110,Beekman Meeting House and Friends' Cemetery,Dutchess,04/27/1989,90NR00564,-73.7662067459,41.6328893566,POINT (-73.7662067459 41.6328893566),12540
111,Rembrandt Hall,Essex,05/20/1983,91NR03359,-73.4769646332,44.5018505548,POINT (-73.4769646332 44.5018505548),12944
112,Peterboro Street Elementary School,Madison,05/23/1986,90NR01433,-75.7494618823,43.0817245412,POINT (-75.7494618823 43.0817245412),13032
113,Schenck-Mann House,Nassau,02/24/2005,91NR00186,-73.4892741613,40.8197689108,POINT (-73.4892741613 40.8197689108),11791
114,MacDonald Farm,Delaware,04/03/1973,90NR00278,-74.8621615749,42.3543377854,POINT (-74.8621615749 42.3543377854),13753
115,"Verdi, Giuseppe, Monument",New York,10/04/1990,90NR03040,-73.9814936388,40.7791916515,POINT (-73.9814936388 40.7791916515),10023
116,"Langdon Estate, Former, Gatehouse",Dutchess,09/02/1993,90NR02896,-73.9375849022,41.7930404718,POINT (-73.9375849022 41.7930404718),12538
117,South Gilboa Railroad Station,Schoharie,02/25/2000,99NR01568,-74.5591100674,42.4106170626,POINT (-74.5591100674 42.4106170626),12167
118,State Theater,Tompkins,06/14/1996,96NR00967,-76.499564726,42.4392540091,POINT (-76.499564726 42.4392540091),14850
119,"West Delhi Presbyterian Church, Manse and Cemetery",Delaware,11/07/2008,08NR05892,-75.0077191766,42.3002048516,POINT (-75.0077191766 42.3002048516),
120,Smith's Grain and Feed Store,Saratoga,05/08/2012,11NR06207,-73.8206268771,42.8929838597,POINT (-73.8206268771 42.8929838597),12019
121,First Congregational Free Church,Oneida,11/19/1979,90NR02079,-75.4596764658,42.9402970082,POINT (-75.4596764658 42.9402970082),13425
122,"Allen, Ethan, I.O.O.F. Lodge No. 630",Essex,,91NR03363,-73.4248994247,43.8485925533,POINT (-73.4248994247 43.8485925533),12883
123,"Ketchum, B., House",Suffolk,09/26/1985,90NR01927,-73.2971701717,40.8993205376,POINT (-73.2971701717 40.8993205376),11768
124,Nathan Comstock House,Niagara,09/29/2011,11NR06224,-78.6795407182,43.1887136868,POINT (-78.6795407182 43.1887136868),14094
125,"Wynkoop, Cornelius, Stone House",Ulster,02/23/1996,96NR00929,-74.1421714229,41.8471433732,POINT (-74.1421714229 41.8471433732),12484
126,"Tuthill, David, Farmstead",Suffolk,11/23/1984,90NR01897,-72.482395258,41.0068854798,POINT (-72.482395258 41.0068854798),11935
127,Mt. Zion Methodist Church,Westchester,05/10/1990,90NR03152,-73.7146316627,41.3015702142,POINT (-73.7146316627 41.3015702142),10536
128,United States Post Office-Angola,Erie,11/17/1988,90NR01257,-79.0280674032,42.6398392332,POINT (-79.0280674032 42.6398392332),14006
129,Second and Ostrander Historic District,Suffolk,08/18/2017,15NR00107,-72.6604523804,40.9195765215,POINT (-72.6604523804 40.9195765215),11901
130,Loomis Family Farm,Chenango,06/13/2014,14NR06534,-75.6623469913,42.4242649344,POINT (-75.6623469913 42.4242649344),13830
131,North Main Street Historic District--East Hampton,Suffolk,10/02/1986,90NR01939,-72.1843110918,40.9657227337,POINT (-72.1843110918 40.9657227337),11937
132,The Oppenheim and St. Johnsville Union Society Church,Fulton,07/19/2010,09NR06070,-74.7145239853,43.0398081008,POINT (-74.7145239853 43.0398081008),13452
133,Buffalo Public School #57 (PS57),Erie,07/27/2018,18NR00030,-78.8349099386,42.8929527986,POINT (-78.8349099386 42.8929527986),14212
134,"Field, Marshall III, Estate",Suffolk,04/30/1979,90NR01925,-73.4708824162,40.9295544161,POINT (-73.4708824162 40.9295544161),11743
135,Duffy-Powers Building,Monroe,,90NR01510,-77.6146913387,43.1556319352,POINT (-77.6146913387 43.1556319352),14614
136,Saint James Church,Queens,11/12/1999,99NR01470,-73.8778252137,40.7383501625,POINT (-73.8778252137 40.7383501625),11373
137,Cyclone Roller Coaster,Kings,06/25/1991,91NR00005,-73.977702,40.5745997281,POINT (-73.977702 40.5745997281),11224
138,St. Barnabas Episcopal Church,Rensselaer,01/28/2004,03NR05106,-73.6825613857,42.7461131932,POINT (-73.6825613857 42.7461131932),12180
139,West End Presbyterian Church & Parish House,New York,12/30/2011,11NR06262,-73.9657538067,40.7998296257,POINT (-73.9657538067 40.7998296257),10025
140,Glens Falls Cemetery,Warren,07/28/2004,01NR01814,-73.6533209627,43.3216305289,POINT (-73.6533209627 43.3216305289),12801
141,United States Post Office-Middleport,Niagara,05/11/1989,90NR01981,-78.4769259772,43.2112088082,POINT (-78.4769259772 43.2112088082),14105
142,Oulagisket,Putnam,11/23/1982,90NR02374,-73.9360313818,41.3761687552,POINT (-73.9360313818 41.3761687552),10524
143,North Main Street School,Rockland,02/28/2008,07NR05728,-74.0435512718,41.1208513465,POINT (-74.0435512718 41.1208513465),10977
144,Holy Trinity (Protestant Episcopal) Church,Kings,12/23/1987,90NR01349,-73.9926611073,40.6945806614,POINT (-73.9926611073 40.6945806614),11201
145,House at 9 Locust Place,Nassau,02/18/1988,90NR01765,-73.650759661,40.8445401158,POINT (-73.650759661 40.8445401158),11579
146,Sherbrook Apartments,Onondaga,02/14/1997,96NR01134,-76.1324526389,43.045002766,POINT (-76.1324526389 43.045002766),13210
147,Putnam County Courthouse,Putnam,08/11/1976,90NR02357,-73.6785485996,41.4263513324,POINT (-73.6785485996 41.4263513324),10512
148,Walton And Willett Stone Store,Oswego,05/24/1976,90NR02149,-76.5120245287,43.4595866583,POINT (-76.5120245287 43.4595866583),13126
149,Grace Episcopal Church,Broome,08/28/1998,98NR01392,-75.9681582653,42.3292497326,POINT (-75.9681582653 42.3292497326),13862
150,First Presbyterian Church of East Syracuse (DEMOLISHED),Onondaga,,98NR01294,-76.0706098146,43.0653728644,POINT (-76.0706098146 43.0653728644),13057
151,Chili-West Historic District,Monroe,09/01/2015,15NR00037,-77.6436380656,43.1481206264,POINT (-77.6436380656 43.1481206264),14611
152,Birge-Horton House,Erie,07/16/2004,04NR05206,-78.8741915403,42.8971731069,POINT (-78.8741915403 42.8971731069),14202
153,"Smith, Stephen and Charles, House",Nassau,07/22/1999,97NR01158,-73.6457658643,40.8131166077,POINT (-73.6457658643 40.8131166077),11576
154,New York Savings Bank,New York,01/07/2000,99NR01554,-74.0027678953,40.740131871,POINT (-74.0027678953 40.740131871),100014
155,"Sahler, J., House",Ulster,08/12/1999,96NR01071,-74.1912103285,41.8244205068,POINT (-74.1912103285 41.8244205068),12484
156,"Buell, William, III, House",Orange,10/24/1986,90NR02355,-74.2856230609,41.4737228968,POINT (-74.2856230609 41.4737228968),10941
157,Louis Skoler Residence,Onondaga,02/12/2010,08NR05949,-76.1115188825,43.0408447563,POINT (-76.1115188825 43.0408447563),13224
158,Plum Island Light Station,Suffolk,02/11/2011,01NR01802,-72.211302613,41.1739353119,POINT (-72.211302613 41.1739353119),11957
159,Stickney House,Niagara,05/30/2003,03NR05056,-78.6927951374,43.1749209166,POINT (-78.6927951374 43.1749209166),14094
160,Johannes Lawyer House,Schoharie,02/23/2016,15NR00128,-74.3139019964,42.6567628911,POINT (-74.3139019964 42.6567628911),12157
161,"Grove Street, House at No. 48",Livingston,01/07/1999,98NR01317,-77.8816202438,42.7280830318,POINT (-77.8816202438 42.7280830318),14510
162,Bowery Savings Bank,New York,04/23/1980,90NR00674,-73.9952482229,40.7189046721,POINT (-73.9952482229 40.7189046721),10013
163,Clinton House,Tompkins,08/12/1971,90NR02249,-76.4994195079,42.4401197589,POINT (-76.4994195079 42.4401197589),14850
164,Evans/Gaige/Dillenback House,Jefferson,09/06/1990,90NR03016,-76.1365669408,44.0696500726,POINT (-76.1365669408 44.0696500726),13622
165,Fifth Avenue-Fulton Street Historic District,Rensselaer,03/05/1970,90NR00976,-73.6873200438,42.7326002968,POINT (-73.6873200438 42.7326002968),12180
166,Metropolitan Museum of Art,New York,06/24/1986,90NR02847,-73.9634405002,40.7794365724,POINT (-73.9634405002 40.7794365724),10035
167,Lighthouse,New York,03/16/1972,90NR00630,-73.9401819596,40.7728368007,POINT (-73.9401819596 40.7728368007),10162
168,Jewett Refrigerator Company Factory,Erie,11/09/2018,18NR00064,-78.8899708696,42.9429272037,POINT (-78.8899708696 42.9429272037),14207
169,Jackson Heights Historic District,Queens,01/27/1999,98NR01367,-73.8857890257,40.7515831831,POINT (-73.8857890257 40.7515831831),11372
170,"Smith, Abigail Adams, Stable (Museum)",New York,01/12/1973,90NR00607,-73.9597319124,40.7605566665,POINT (-73.9597319124 40.7605566665),10065
171,Cold Brook Feed Mill,Herkimer,10/09/1974,90NR00600,-75.04096232,43.2397471121,POINT (-75.04096232 43.2397471121),13324
172,Hazard Sheldon House,Niagara,05/11/2011,10NR06176,-79.0577667045,43.0918393053,POINT (-79.0577667045 43.0918393053),14301
173,"9757 State Route 812, Croghan",Lewis,02/08/2022,20NR00036,-75.3923956891,43.8925542063,POINT (-75.3923956891 43.8925542063),13327
174,Stonecrest,Dutchess,07/09/1987,90NR00354,-73.9122108857,41.8768090694,POINT (-73.9122108857 41.8768090694),12572
175,St. John's Lutheran Church,Columbia,06/30/2009,09NR05987,-73.6392028349,42.0493878067,POINT (-73.6392028349 42.0493878067),12502
176,Otsego County Courthouse,Otsego,06/20/1972,90NR02189,-74.9291211922,42.7009714746,POINT (-74.9291211922 42.7009714746),13326
177,Gardiner Schoolhouse,Ulster,11/22/2000,00NR01691,-74.1488802705,41.6785148858,POINT (-74.1488802705 41.6785148858),12525
178,Manhattan Bridge,Kings,09/01/1983,90NR01298,-73.9899567695,40.7060199368,POINT (-73.9899567695 40.7060199368),11201-1832
179,Village Park Historic District,St. Lawrence,05/06/1975,90NR02571,-75.1678701184,44.595438214,POINT (-75.1678701184 44.595438214),13617
180,"Watson, Elkanah, House",Essex,07/19/1964,90NR00459,-73.4055566664,44.5247055577,POINT (-73.4055566664 44.5247055577),12944
181,HAMBURG MAIN STREET HISTORIC DISTRICT,Erie,12/04/2012,12NR06374,-78.834281797,42.7162125899,POINT (-78.834281797 42.7162125899),14075-3719
182,Congregation B'nai Jeshurun and Community House,New York,06/02/1989,90NR00735,-73.9760853074,40.7902480156,POINT (-73.9760853074 40.7902480156),10024
183,Washington Park Historic District (Boundary Increase),Albany,02/24/2015,14NR06582,-73.7656941627,42.657410992,POINT (-73.7656941627 42.657410992),12210
184,Wild's Mill Complex,Columbia,06/14/1982,90NR00259,-73.6804528107,42.4132644114,POINT (-73.6804528107 42.4132644114),12184
185,Double-Span Metal Pratt Truss Bridge,Clinton,05/20/1983,90NR00206,-73.4853087802,44.5006708592,POINT (-73.4853087802 44.5006708592),12944
186,Houk Manufactoring Company,Erie,02/14/2014,13NR06513,-78.8795411444,42.9429885054,POINT (-78.8795411444 42.9429885054),14207
187,"Ritchie, Z., House",Clinton,11/12/1982,90NR00190,-73.4579621019,44.6922250122,POINT (-73.4579621019 44.6922250122),12901
188,"Kahn, Otto H., Estate (Oheka)",Suffolk,09/15/2004,96NR00925,-73.4480011141,40.8282222561,POINT (-73.4480011141 40.8282222561),11743
189,Third Judicial District Courthouse (Jefferson Market Library),New York,11/09/1972,90NR00906,-73.999163487,40.7346157896,POINT (-73.999163487 40.7346157896),10011
190,Woodlawn Farm,Orange,04/11/2008,07NR05823,-74.4770102218,41.3931434751,POINT (-74.4770102218 41.3931434751),10973
191,George Underhill House,Nassau,07/05/2003,02NR04977,-73.5785687145,40.8961780566,POINT (-73.5785687145 40.8961780566),11560
192,Old New York Evening Post Building,New York,08/16/1977,90NR00808,-74.0095269228,40.7120573254,POINT (-74.0095269228 40.7120573254),10007
193,Public School 66,Queens,08/28/2003,03NR05092,-73.8461378526,40.6979493896,POINT (-73.8461378526 40.6979493896),11418
194,Grace Memorial Union Chapel,Warren,08/11/1982,90NR02693,-73.5103737269,43.6697116443,POINT (-73.5103737269 43.6697116443),12874
195,New York Marble Cemetery,New York,09/17/1980,90NR00850,-73.9909468531,40.7256192547,POINT (-73.9909468531 40.7256192547),10003
196,Frick Collection and Frick Art Reference Library Building,New York,,08NR05966,-73.9671853296,40.7712270291,POINT (-73.9671853296 40.7712270291),10021
197,Greenwich District School No. 11,Washington,12/30/2020,20NR00097,-73.4497175538,43.1005258628,POINT (-73.4497175538 43.1005258628),12834
198,Congregation Tifereth Israel Synaoguge,Suffolk,03/22/2006,05NR05502,-72.3648993936,41.1008841122,POINT (-72.3648993936 41.1008841122),11944
199,Christian Church,Delaware,03/12/2001,01NR01748,-74.8785421996,42.2989844635,POINT (-74.8785421996 42.2989844635),13842
200,Substation #7,New York,02/09/2006,05NR05416,-73.9483935332,40.787152782,POINT (-73.9483935332 40.787152782),10029
